Kérdés	Jó válaszok								Rossz válaszok							
Melyek Linkin Park számok?	One Step Closer	In the End	Bleed it Out	Lost in the Echo	Castle of Glass	Numb	One More Light	New Divide	Blood in my Eyes	Chop Suey!	Smells Like Teen Spirit		I Don't Care	The Pretender	Fallen Leaves	By the Way
Melyik halmazok számossága egyenlő kettővel?	pozitív egész számok paritásai	magyar gyalogos jelzőlámpák színei	emberi agyféltekék	hangvilla ágai	ivari kromoszómák	Szapolyai-házból származó magyar uralkodók	erdei pityer szárnyai		egy házasságban élők	Orbán Viktor gyerekei	filmek, amelyek 11 Oscar-díjat nyertek	ízek	rombusz oldalainak hosszai	elsődleges kémiai kötések	háromjegyű magyar betűk	német főnevek nemei
Melyek József Attila versek?	Kopogtatás nélkül	Tudod, hogy nincs bocsánat	Klárisok	Gyermekké tettél	Thomas Mann üdvözlése	A Dunánál	Tiszta szívvel	Levegőt!	Körúti hajnal	Különbéke	Kocsi-út az éjszakában	Egy mondat a zsarnokságról	Tétova óda	Mint észrevétlenül	Toldi estéje	Valaki jár a fák hegyén
Melyek Milka csoki típusok?	Triple Kakaós	Collage Málnás	Oreós	Bubbly fehércsokoládés	Mazsolás-mogyorós	Tofee cream	Choco Jelly		Sárgabarackos-kekszes	Zöldcitromos	Kókuszkocka	Ananászkrémes	Tejeskávé	Marcipánkrémes		
Melyik mértékegységek fejeznek ki hosszúságot?	deciméter	yard	parszek	fényév	láb	mikron	hüvelyk		hold	pint	mázsa	mól	kandela	var	bar	volt
Kik nyertek Oscar-díjat?	Emma Stone	Steven Spielberg	Leonardo DiCaprio	Adrien Brody	Russell Crowe	Nicolas Cage	Kevin Spacey	Martin Scorsese	Tim Burton	Tom Cruise	Johnny Depp	Harrison Ford	Samuel L. Jackson	Edward Norton	Gary Oldman	Ridley Scott
Melyik magyar településeken van vár?	Budapest	Csesznek	Gyula	Kőszeg	Eger	Solymár	Hollókő	Szigliget	Ózd	Tatabánya	Cegléd	Szentes	Békés	Mohács	Nyíregyháza	Kecskemét
Melyik ponthalmazok feltétlenül konvexek?	hasáb	négyzet	kör	paralelepipedon	háromszög	ikozaéder	félgömb	kúp	ötszög	négyszög	poliéder	két háromszög uniója	hatszög	Szilassi-poliéder	körgyűrű	
Melyik énekesek szerepeltek a magyar X-faktorban?	Vastag Csaba	Kocsis Tibor	Muri Enikő	Danics Dóra	Tóth Andi	Takács Nikolas	Csobot Adél	Oláh Gergő	Radics Gigi	Király Viktor	Rúzsa Magdi	Kökény Attila	Tóth Vera	Oláh Ibolya	Tolvai Renáta	
Melyik karakterek haltak meg a Breaking Badben?	Walter White	Hank Schrader	Mike Ehrmantraut	Gustavo 'Gus' Fring	Victor	Jane Margolis			Skyler White	Jesse Pinkman	Marie Schrader	Walter White, Jr.	Saul Goodman			
Melyik gomba mérgező?	gyilkos galóca	légyölő galóca	susulykagomba	sátántinóru	retekszagú kígyógomba				őzlábgomba	csiperkegomba	pereszkegomba	szarvasgomba	vargánya			
Melyik szolmizációs hangok szerepelnek az Örömóda dallamában?	mi	fá	szó	ré	 dó				lá	ti	fí	szí				
Melyik szépirodalmi helyszínek léteznek ma a valóságban?	a Kis-Balaton a Tüskevárból	a vár az Egri Csillagokból	If vára a Monte Cristo grófjából	Artagnan A három testőrből	az iskola az Iskola a határonból	a ház az Anne Frank naplójából	a templom A párizsi Notre-Dame-ból		a grund a Pál utcai fiúkból	Mordor a Gyűrűk urából	Macondo a Száz év magányból	Matula az Abigélből	Mátraszentanna a Tótékból	Nemesdomb a Kőszívű ember fiaiból	a hotel A ragyogásból	Godric's Hollow a Harry Potter sorozatból
Melyik vállalatokat birtokolja a Facebook?	WhatsApp	Oculus VR	Instagram	Face.com	LiveRail				Viber	Snapchat	Twitter	LinkedIn	Yahoo	Kaggle		
Kikkel randizott Taylor Swift?	Jake Gyllenhaal	Harry Styles	Calvin Harris	Tom Hiddleston	Taylor Lautner	Joe Jonas			Leonardo DiCaprio	Bradley Cooper	Justin Bieber					
Melyek amerikai elnökök keresztnevei?	James	John	George	Franklin	Abraham	Barack	Donald	Bill	Johnson	Smith	Williams	Wilson	Michael	Scott	Turner	Adams
Melyik országok nyertek már Eurovíziós Dalfesztivált?	Írország	Svédország	Franciaország	Egyesült Királyság	Azerbajdzsán	Ukrajna	Portugália	Dánia	Magyarország	Románia	Lengyelország	Horvátország	Csehország	Szlovákia	Szlovénia	Szerbia
Melyik szavakat írtuk helyesen?	aszimmetrikus	feltűnő	jaj	kommunista	mályva	puding			abszolut	felbujt	hiradó	inteligencia	jeggyűrű	pocsoja	szinpatikus	kissebb
Melyik járatok közlekednek Budán?	61	41	11	27					69	3	97E	46	202E	7E	195	98
Melyik neveket viselték Árpád-házi királyaink?	Péter	András	Béla	László	Imre	Kálmán			Károly	Lajos	Zsigmond	János	Ulászló	József	Ferenc	
Melyek zsíroldékony vitaminok?	A	D	E	K					C	B1	B2	H	P	B12	B6	
Melyik könyveket írta Stephen King?	A ragyogás	A Holtsáv	Mr. Mercedes	Carrie	Az				Az Időgép	Szép új világ	Több, mint ember	A rózsa neve	A sötétség balkeze	Az alkimista	Lolita	
Melyik alapanyagokat engedi meg a paleolit táplálkozás?	tojás	csirkemell	karfiol	alma	sertés lapocka	kesudió	zsír	cheddar sajt	trappista sajt	tej	kukorica	borsó	cukor	kenyér	kefír	pizza
Kik a Griffendél-ház tanulói?	Harry Potter	Ginny Weasley	Neville Longbottom	Dean Thomas	Angelina Johnson	Hermione Granger			Choe Chang	Luna Lovegood	Draco Malfoy	Cedric Diggory	Vincent Crack	Tom Riddle	Albus Potter	Viktor Krum
Melyik országok tagjai az Eurozónának?	Finnország	Szlovénia	Szlovákia	Belgium	Görögország	Németország	Málta	Olaszország	Svédország	Norvégia	Dánia	Svájc	Horvátország	Csehország	Lengyelország	Románia
Melyik években nyerte meg Németország a FIFA világbajnokságot?	1954	1974	1990	2014					1966	1982	1986	1962	1938	1970	2002	2006
Melyik együttesek léptek már fel Magyarországon?	Muse	Good Charlotte	Billy Talent	Simple Plan	Nirvana	Queen	Rammstein	Sum 41	The Beatles	Led Zeppelin						
Melyik filmsorozatokból készült már legalább 7 rész?	Harry Potter	Csillagok háborúja	James Bond	Amerikai pite	Fűrész	Halálos iramban			Gyűrűk ura	Alien	Mission: Impossible	Halálos kitérő	Bourne	Shrek	Terminator	Jégkorszak
Melyik országok zászlajában szerepel csillag?	Amerikai Egyesült Államok	Brazília	Vietnám	Marokkó	Azerbajdzsán	Irak	Kína		Egyesült Királyság	Magyarország	Kolumbia	Finnország	Japán	Nigéria		
Melyek Ford modellek?	Fiesta	Focus	Mondeo	Ranger	Mustang	Escape	Fusion	Kuga	Passat	Octavia	Polo	Yeti	Swift	Verona	Camaro	Astra
Melyik események történtek júniusban?	D-nap (a normandiai partraszállás első napja)	a trianoni békeszerződés aláírása	Erkel Ferenc halála	Viktória királynő trónralépése	waterlooi csata	2016-os népszavazás az Egyesült Királyság EU-tagságáról	Szent László szentté avatása		Hunyadi Mátyás királlyá koronázása	mohácsi csata	József Attila születése	az 1848–49-es forradalom és szabadságharc kitörése	az 1956-os forradalom kitörése	a Nagyszombati Egyetem alapítása	az 1917-es orosz forradalom	
Melyik színészek szerepeltek a Game of Thronesban?	Kit Harington	Emilia Clarke	Maisie Williams	Alfie Allen	Sophie Turner	Liam Cunningham	Gwendoline Christie	Jack Gleeson	Bryan Cranston	Martin Freeman	Aaron Paul	Evan Rachel Wood	Cobie Smulders	Neil Patrick Harris	Kaley Cuoco	David Schwimmer
Melyek fideszes képviselők?	Balla György	Balog Zoltán	Deutsch Tamás	Fodor Gábor	Lázár János	Matolcsy György			Botka László	Bokros Lajos	Szili Katalin	Vona Gábor	Toroczkai László	Hiller István	Gyurcsány Ferenc	
Melyik települések találhatók a Balaton északi partján?	Balatonfüred	Balatonalmádi	Ábrahámhegy	Tihany	Révfülöp	Zánka	Szigliget	Badacsonytomaj	Balatonberény	Balatonfenyves	Fonyód	Balatonboglár	Balatonlelle	Szántód	Zamárdi	Siófok
Melyik szerepeket játszotta Sacha Baron Cohen?	Borat	Brüno	Ali G	Aladeen					Sheldon Cooper	Kramer	Homer Simpson	Ace Ventura	Frank Drebin	Al Bundy		
Melyik hírességek lettek öngyilkosok?	Chester Bennington	Robin Williams	Kurt Cobain	Szécsi Pál	Marilyn Monroe	Eva Braun	Vincent van Gogh	Márai Sándor	Máté Péter	Salvador Dalí	Rejtő Jenő	James Dean	Grace Kelly	Tupac	Paul Walker	Ady Endre
Melyik országokban van baloldali közlekedés?	Egyesült Királyság	Írország	India	Japán	Ausztrália	Új-Zéland	Kenya	Dél-afrikai Köztársaság	Amerikai Egyesült Államok	Brazília	Oroszország	Egyiptom	Etiópia	Dél-Korea	Nigéria	Lengyelország
Melyek dinoszauruszok?	Velociraptor	Bambiraptor	Brontosaurus	Diplodocus	Gigantoraptor	Tyrannosaurus	Triceratops		Spondilitis	Rhaphidioidea	Streptococcus					
Melyik műsorokat vezetette Sebestyén Balázs?	Balázs show	Pókerarc	Celeb vagyok, ments ki innen!	Vundersőn és Zuperszexi	X-Faktor	A kód	A széf		A Konyhafőnök	Heti Hetes	Sztárban Sztár	Megasztár	Surviver	Legyen Ön is Milliomos!		
Melyek amerikai városok?	Houston	Phoenix	San Jose	Columbus	El Paso	Portland	Louisville	Omaha	Edmonto	Montreal	Winnipeg	Puebla	Manchester			
Melyik elem tartozik az alkáliföldfémek kategóriájába?	Berillium	Magnézium	Kalcium	Stroncium	Bárium	Rádium			Kálium	Nátrium	Francium	Hidrogén	Nitrogén	Alumínium	Ón	Ólom
Kiket szinkronizált Kökényessy Ági?	Jennifer Aniston	Alyssa Milano	Lucy Liu	Reese Witherspoon					Jennifer Lawrance	Anne Hathaway	Margot Robbie	Emilia Clarke	Alicia Vikander	Ryan Gosling		
Kik kaptak posztumusz Kossuth-díjat?	Bartók Béla	József Attila	Latinovits Zoltán	Márai Sándor	Dohnányi Ernő	Derkovits Gyula	Jékely Zoltán		Kodály Zoltán	Illyés Gyula	Kallós Zoltán	Jancsó Miklós 	Törőcsik Mari 	Rudolf Péter	Ady Endre	
Melyik programozási nyelvek jelentek meg a XX. században?	Assembly	C	C++	Java	Pascal	Python	PHP		C#	Go	Swift	TypeScript	F#	Rust		
Kik voltak aradi vértanúk?	Nagysándor József	Damjanich János	Aulich Lajos	Kiss Ernő	Knezić Károly	Lázár Vilmos	Dessewffy Arisztid	Vécsey Károly	Görgei Artúr	Móga János	Mészáros Lázár	Perczel Mór				
Melyik országokban hivatalos nyelv az angol?	Kamerun	Uganda	Málta	Új-Zéland	Namíbia	Ghána	Kanada	Ausztrália	Amerikai Egyesült Államok	Monaco	Vietnam	Izrael	Egyiptom	Kongói Demokratikus Köztársaság	Bolívia	
Kik léptek pályára a híres londoni 6-3on?	Grosics Gyula	Bozsik József	Zakariás József	Kocsis Sándor	Hidegkuti Nándor	Puskás Ferenc	Czibor Zoltán	Buzánszky Jenő	Sándor Károly	Palotás Péter	Várhidi Pál	Börzsei János	Gellér Sándor	Farkas János	Szalay Miklós	
Milyen Oscar díjakat nyert a La la land?	Legjobb női főszereplő	Legjobb rendező	Legjobb operatőr	Legjobb eredeti dal	Legjobb eredeti filmzene				Legjobb film	Legjobb férfi főszereplő	Legjobb eredeti forgatókönyv	Legjobb vágás	Legjobb jelmeztervezés	Legjobb hangvágás		
